Month,Region,Sales_Rep,Units_Sold,Unit_Price,Revenue,Cost,Profit
Nov,South,Jamie,102,23,2346,1806.203696,539.7963041
Sep,East,Jordan,224,21,4704,3395.008448,1308.991552
Apr,West,Jamie,150,34,5100,3426.075422,1673.924578
Sep,West,Jordan,233,24,5592,4210.889366,1381.110634
Mar,South,Skyler,186,32,5952,4708.646573,1243.353427
Jul,East,Jordan,225,25,5625,4139.255931,1485.744069
Jun,North,Alex,125,29,3625,2409.918128,1215.081872
Aug,South,Alex,149,25,3725,2451.841901,1273.158099
Nov,West,Alex,110,22,2420,1861.901667,558.0983334
Sep,West,Jamie,172,31,5332,3966.541705,1365.458295
May,West,Alex,216,34,7344,5789.999325,1554.000675
Jan,North,Jordan,197,34,6698,4903.522227,1794.477773
Mar,West,Skyler,242,33,7986,5265.643454,2720.356546
Oct,North,Alex,160,28,4480,3183.277563,1296.722437
Dec,North,Jamie,139,26,3614,2705.796752,908.2032477
Aug,North,Skyler,155,32,4960,3510.354701,1449.645299
Nov,South,Alex,142,33,4686,3748.51,937.4872072
Jun,North,Alex,179,22,3938,2799.157147,1138.842853
Aug,East,Skyler,127,23,2921,2137.983359,783.0166412
Sep,West,Alex,231,26,6006,4106.955682,1899.044318
Apr,South,Jamie,153,30,4590,3088.247154,1501.752846
Jan,West,Jordan,137,27,3699,2762.397778,936.6022219
Jan,North,Jordan,109,25,2725,2011.84546,713.1545397
Oct,South,Skyler,236,23,5428,3531.732698,1896.267302
Apr,East,Jordan,89,31,2759,1911.206838,847.7931618
Dec,North,Alex,118,21,2478,1849.918527,628.0814727
Jul,West,Alex,134,29,3886,2999.360144,886.6398564
Feb,East,Jamie,107,27,2889,2013.214956,875.7850442
Mar,North,Jordan,225,20,4500,3362.019549,1137.980451
Jan,East,Skyler,248,28,6944,4789.89266,2154.10734
May,North,Alex,197,34,6698,5047.32468,1650.67532
Jan,South,Skyler,193,27,5211,3932.701053,1278.298947
Aug,North,Alex,154,22,3388,2268.379565,1119.620435
Jan,South,Alex,144,29,4176,3131.012241,1044.987759
Nov,North,Jamie,160,23,3680,2576.129084,1103.870916
Jan,North,Jordan,179,29,5191,3508.541043,1682.458957
Feb,West,Jamie,179,23,4117,2985.048079,1131.951921
Feb,East,Jordan,125,21,2625,1884.341819,740.6581807
Dec,East,Skyler,139,31,4309,3301.043984,1007.956016
Jun,East,Jordan,216,30,6480,4294.149075,2185.850925
Jul,North,Skyler,235,29,6815,5237.075279,1577.924721
May,North,Alex,176,24,4224,2812.81,1411.186215
Jan,North,Skyler,82,32,2624,1787.255873,836.7441265
Jan,South,Skyler,215,31,6665,4848.003148,1816.996852
Mar,South,Alex,193,22,4246,3054.895903,1191.104097
Feb,West,Skyler,195,31,6045,4825.897875,1219.102125
May,North,Skyler,137,30,4110,3034.910544,1075.089456
Dec,East,Alex,149,20,2980,2083.363711,896.6362889
Oct,East,Alex,172,21,3612,2835.500657,776.499343
Jun,West,Alex,219,30,6570,4578.18784,1991.81216
Jul,East,Jordan,216,31,6696,4627.380248,2068.619752
Apr,West,Alex,184,26,4784,3464.3612,1319.6388
Jul,North,Alex,128,34,4352,3424.920499,927.0795007
Nov,East,Skyler,162,20,3240,2450.337928,789.6620719
Aug,North,Jamie,96,34,3264,2453.295782,810.7042177
Nov,South,Jamie,133,31,4123,3128.992485,994.0075154
Jan,East,Jordan,191,32,6112,4577.558512,1534.441488
Jun,South,Jordan,239,32,7648,5842.838384,1805.161616
Aug,East,Jamie,242,21,5082,3450.242489,1631.757511
May,North,Jamie,128,33,4224,2857.91085,1366.08915
Apr,West,Alex,223,29,6467,4554.866552,1912.133448
Feb,North,Skyler,164,26,4264,3315.873875,948.1261255
Jun,North,Alex,91,20,1820,1378.046001,441.9539992
Jun,North,Jordan,205,26,5330,3917.395438,1412.604562
Nov,East,Jamie,177,32,5664,3698.122543,1965.877457
Jan,West,Jordan,215,27,5805,3978.574839,1826.425161
Sep,South,Alex,228,30,6840,5270.405305,1569.594695
Dec,North,Jordan,127,32,4064,2789.419888,1274.580112
Nov,East,Jordan,215,33,7095,5388.961342,1706.038658
Jun,South,Skyler,107,21,2247,1522.780979,724.219021
Mar,North,Jordan,159,23,3657,2709.672924,947.3270759
Apr,South,Alex,89,26,2314,1722.152165,591.8478346
Dec,North,Skyler,131,20,2620,1998.522727,621.4772733
Nov,South,Jordan,222,25,5550,3972.420049,1577.579951
Apr,South,Alex,211,24,5064,3772.179701,1291.820299
Mar,West,Jamie,169,30,5070,3665.840524,1404.159476
Oct,West,Skyler,141,25,3525,2792.154992,732.8450085
Mar,North,Jordan,186,27,5022,3657.432752,1364.567248
Mar,East,Jordan,211,30,6330,4313.51319,2016.48681
Apr,West,Skyler,120,30,3600,2700.661977,899.3380235
Jul,South,Alex,178,20,3560,2606.881553,953.12
Apr,West,Jordan,134,22,2948,2271.653404,676.35
Sep,West,Alex,107,30,3210,2171.682934,1038.317066
Jan,North,Skyler,180,32,5760,3969.451817,1790.548183
Aug,West,Jordan,126,28,3528,2780.926124,747.0738764
Jul,West,Jamie,216,31,6696,5286.52,1409.481772
Feb,South,Jamie,209,27,5643,4042.29824,1600.70176
Aug,West,Jamie,196,23,4508,2962.489349,1545.510651
Jan,South,Skyler,187,30,5610,3904.46609,1705.53391
Nov,West,Jordan,148,33,4884,3355.642057,1528.357943
Dec,West,Skyler,107,29,3103,2209.961341,893.0386592
Sep,East,Jordan,158,28,4424,3086.492491,1337.507509
Sep,West,Jamie,93,26,2418,1872.375523,545.6244769
Feb,South,Jamie,125,21,2625,1707.445433,917.5545675
Jul,South,Alex,220,20,4400,3285.457023,1114.542977
Oct,North,Skyler,95,20,1900,1424.317014,475.6829858
Mar,North,Skyler,247,32,7904,5920.838868,1983.161132
Jul,East,Alex,237,22,5214,3796.2571,1417.7429
Dec,South,Jamie,160,32,5120,3797.327928,1322.672072
Oct,South,Jamie,137,33,4521,3488.286717,1032.713283
Sep,South,Skyler,127,34,4318,3314.624254,1003.375746
Apr,East,Jordan,128,29,3712,2432.07941,1279.92059
Dec,South,Jamie,168,21,3528,2309.307015,1218.692985
Jan,North,Alex,209,23,4807,3729.471157,1077.528843
Feb,East,Alex,93,33,3069,2259.426812,809.5731883
Jan,North,Alex,182,34,6188,4910.884053,1277.115947
Dec,North,Skyler,200,33,6600,4717.275681,1882.724319
May,East,Skyler,224,27,6048,4091.54018,1956.45982
May,West,Skyler,202,24,4848,3495.336428,1352.663572
Nov,West,Skyler,238,24,5712,4086.831163,1625.168837
Jul,North,Alex,217,25,5425,3947.103094,1477.896906
Sep,West,Alex,149,32,4768,3677.043862,1090.956138
Sep,South,Skyler,182,31,5642,4222.120729,1419.879271
Mar,East,Skyler,181,34,6154,4171.127655,1982.872345
Mar,North,Alex,244,34,8296,6306.383498,1989.616502
Mar,South,Skyler,143,24,3432,2535.508171,896.4918294
Apr,West,Skyler,237,24,5688,4190.61,1497.385285
Aug,South,Skyler,241,34,8194,6159.745534,2034.254466
Jun,West,Skyler,97,33,3201,2351.438015,849.561985
Aug,North,Jamie,142,26,3692,2653.171107,1038.828893
Jan,South,Skyler,128,25,3200,2387.382536,812.6174642
Aug,East,Alex,135,32,4320,3276.975141,1043.024859
Apr,North,Alex,170,32,5440,3720.225825,1719.774175
Nov,South,Alex,137,33,4521,3275.724386,1245.275614
Jan,South,Alex,234,29,6786,4877.27,1908.73
Aug,West,Skyler,134,30,4020,2637.061672,1382.938328
Apr,North,Jamie,164,21,3444,2669.67101,774.3289901
Jun,North,Jordan,98,32,3136,2215.920504,920.0794959
Aug,North,Jordan,230,20,4600,3040.155571,1559.844429
Apr,North,Jordan,182,20,3640,2616.012907,1023.987093
Mar,West,Jordan,191,23,4393,2961.857777,1431.142223
Sep,East,Alex,187,21,3927,2967.485311,959.5146891
Mar,North,Skyler,126,25,3150,2317.662069,832.3379307
Sep,West,Skyler,186,31,5766,3981.521432,1784.478568
Feb,East,Jordan,163,31,5053,4004.861662,1048.138338
Feb,East,Jordan,235,28,6580,4564.952659,2015.047341
Feb,West,Jamie,207,29,6003,4401.696965,1601.303035
Jun,North,Jamie,137,30,4110,3165.666564,944.3334363
Mar,East,Jamie,222,34,7548,5488.02886,2059.97114
Sep,North,Alex,223,33,7359,5843.990538,1515.009462
Apr,North,Skyler,176,29,5104,3963.655056,1140.344944
Jan,South,Alex,126,27,3402,2681.296003,720.7039972
Apr,North,Alex,219,23,5037,3555.645437,1481.354563
Jan,South,Skyler,182,32,5824,4264.643293,1559.356707
May,East,Jamie,163,31,5053,3921.254044,1131.745956
Apr,West,Skyler,236,21,4956,3893.061926,1062.938074
Aug,South,Jordan,128,20,2560,2026.635614,533.3643861
Aug,West,Jamie,210,26,5460,4269.03,1190.974518
Jul,East,Skyler,191,29,5539,4207.497712,1331.502288
Mar,North,Alex,139,22,3058,1998.807331,1059.192669
Jan,East,Skyler,145,33,4785,3336.307838,1448.692162
Jan,West,Jamie,166,25,4150,2777.762837,1372.237163
Dec,East,Jordan,205,24,4920,3312.211848,1607.788152
Nov,North,Alex,105,24,2520,1747.962917,772.0370832
Mar,East,Jordan,150,31,4650,3074.631469,1575.368531
Jun,North,Jordan,153,21,3213,2205.579182,1007.420818
Jul,South,Alex,126,33,4158,3299.5677,858.4322997
Jun,West,Skyler,155,28,4340,3024.07527,1315.92473
Jun,North,Skyler,175,30,5250,3538.274043,1711.725957
Jun,North,Jordan,249,23,5727,4339.60577,1387.39423
Mar,East,Skyler,110,29,3190,2469.939714,720.0602857
Jun,South,Jamie,101,20,2020,1408.153468,611.8465316
Aug,North,Jordan,96,21,2016,1394.617587,621.3824133
Nov,South,Jordan,227,28,6356,4361.89,1994.106447
Nov,South,Jordan,215,26,5590,3963.249549,1626.750451
Feb,East,Jamie,177,29,5133,3403.614092,1729.385908
May,North,Jordan,128,21,2688,2016.992904,671.0070959
Jan,East,Skyler,166,26,4316,3337.709323,978.290677
Dec,West,Skyler,117,33,3861,2894.021592,966.9784077
Jan,West,Skyler,132,23,3036,2165.214339,870.7856612
May,North,Skyler,107,29,3103,2151.447478,951.552522
Dec,South,Jordan,156,21,3276,2330.601845,945.3981548
Mar,North,Jamie,236,31,7316,5220.519256,2095.480744
Apr,North,Alex,218,23,5014,3760.014265,1253.985735
Mar,West,Skyler,97,24,2328,1837.278676,490.7213238
Jan,West,Alex,129,32,4128,2726.907154,1401.092846
Jan,South,Alex,168,33,5544,4396.41,1147.59
Dec,South,Jordan,229,23,5267,4142.654524,1124.345476
Dec,North,Skyler,124,34,4216,2814.853907,1401.146093
May,East,Skyler,206,22,4532,3070.60,1461.398896
Jun,North,Skyler,172,25,4300,2995.979163,1304.020837
Mar,South,Alex,100,20,2000,1467.899812,532.1001877
Dec,East,Skyler,155,27,4185,2804.667432,1380.332568
Sep,West,Skyler,243,31,7533,5122.81848,2410.18152
May,South,Jamie,231,24,5544,4354.264774,1189.735226
Aug,South,Jordan,239,27,6453,4300.247546,2152.752454
Jan,East,Skyler,170,29,4930,3499.470477,1430.529523
May,South,Skyler,175,23,4025,3076.912323,948.0876767
Mar,South,Jordan,175,23,4025,3152.732057,872.2679432
Dec,South,Jordan,154,24,3696,2588.701997,1107.298003
Jan,South,Alex,189,24,4536,3060.283279,1475.716721
Apr,South,Alex,161,30,4830,3673.464947,1156.535053
May,South,Alex,207,25,5175,3963.44796,1211.55204
Jul,South,Jordan,182,24,4368,3481.317913,886.6820875
Jan,South,Jamie,212,24,5088,3413.698341,1674.301659
Mar,West,Skyler,223,32,7136,5397.764113,1738.235887
Feb,South,Jordan,218,27,5886,4194.327582,1691.672418
Sep,West,Jamie,114,25,2850,2243.504085,606.4959154
Oct,West,Jordan,191,21,4011,2852.521452,1158.478548
Jun,North,Jamie,249,23,5727,4105.652261,1621.347739
Oct,North,Jordan,166,23,3818,2554.316412,1263.683588
Mar,West,Jordan,198,24,4752,3317.56374,1434.43626
Aug,West,Jamie,177,34,6018,4273.538693,1744.461307
Aug,South,Jamie,160,34,5440,3550.287144,1889.712856
Feb,North,Jamie,217,25,5425,3882.326224,1542.673776
Jun,East,Jamie,161,30,4830,3383.16279,1446.83721
Jul,North,Jamie,215,24,5160,3976.171956,1183.828044
Feb,West,Jamie,105,33,3465,2307.921781,1157.078219
Nov,West,Jamie,82,33,2706,2067.469696,638.5303036
Oct,South,Jamie,138,30,4140,3134.401168,1005.598832
Feb,South,Jordan,195,25,4875,3345.553327,1529.446673
Oct,North,Jamie,210,27,5670,3756.322554,1913.677446
Jan,South,Jamie,245,23,5635,4374.30972,1260.69028
Aug,East,Jordan,209,30,6270,4310.088955,1959.911045
Jan,East,Jordan,224,22,4928,3310.79804,1617.20196
Sep,South,Alex,115,28,3220,2266.414679,953.5853213
Nov,East,Alex,165,22,3630,2577.780697,1052.219303
Jun,East,Jamie,177,30,5310,3711.23,1598.770924
Jul,North,Jamie,203,27,5481,4365.46,1115.54
Oct,East,Alex,152,29,4408,3447.598627,960.4013735
Jul,West,Alex,189,31,5859,4575.564515,1283.435485
Oct,West,Skyler,201,24,4824,3424.148229,1399.851771
Mar,North,Skyler,209,28,5852,4649.00697,1202.99303
Feb,South,Jamie,241,22,5302,3990.297365,1311.702635
Sep,North,Skyler,106,29,3074,2381.732742,692.27
Aug,South,Alex,244,29,7076,5131.03,1944.97
Dec,South,Jamie,229,27,6183,4167.914509,2015.085491
Oct,South,Jordan,147,33,4851,3798.49,1052.507762
Jul,South,Jordan,93,32,2976,2151.540896,824.4591035
Sep,South,Alex,177,32,5664,4504.484251,1159.515749
Apr,North,Skyler,102,26,2652,1825.18371,826.8162897
Apr,South,Jordan,194,31,6014,4804.325088,1209.674912
Jan,East,Skyler,191,26,4966,3393.584146,1572.415854
Aug,East,Jordan,175,33,5775,4072.674454,1702.325546
Dec,South,Skyler,157,30,4710,3481.172673,1228.827327
Mar,East,Jordan,140,29,4060,3061.233743,998.766257
Jul,West,Jordan,164,28,4592,3480.930358,1111.069642
Dec,North,Jamie,150,31,4650,3354.686055,1295.313945
Feb,North,Jamie,164,27,4428,2929.228465,1498.771535
Feb,South,Alex,129,22,2838,2055.867698,782.1323018
Jul,South,Jordan,219,33,7227,5060.368475,2166.631525
Jun,West,Skyler,94,32,3008,2251.934211,756.07
Mar,South,Jordan,224,25,5600,3793.111491,1806.888509
Sep,East,Skyler,113,30,3390,2403.804417,986.20
Oct,West,Skyler,114,25,2850,2265.515938,584.4840617
Jun,East,Jordan,118,24,2832,1878.550871,953.4491288
Oct,North,Skyler,212,22,4664,3452.992977,1211.007023
Oct,East,Alex,109,28,3052,2025.298759,1026.701241
Jun,North,Jamie,211,26,5486,3695.091725,1790.908275
Jan,East,Skyler,222,23,5106,3782.219248,1323.780752
Apr,North,Jordan,182,25,4550,3260.526944,1289.473056
Oct,South,Jamie,242,24,5808,4253.052326,1554.947674
Jun,East,Alex,153,20,3060,2392.861326,667.1386737
Jun,North,Skyler,134,21,2814,2174.057106,639.9428936
Nov,East,Skyler,139,20,2780,2177.29,602.7117356
Dec,West,Jamie,103,28,2884,2141.191879,742.8081212
May,South,Skyler,101,28,2828,2045.906633,782.0933674
Jan,North,Jordan,111,24,2664,1915.095354,748.9046463
Aug,West,Jamie,174,27,4698,3575.04309,1122.95691
May,East,Jamie,162,29,4698,3421.060024,1276.939976
Dec,West,Skyler,82,23,1886,1255.821992,630.1780075
Dec,East,Alex,149,20,2980,2000.446744,979.5532562
Dec,South,Alex,239,32,7648,5380.845351,2267.154649
May,West,Alex,209,32,6688,4415.240407,2272.759593
Jul,South,Alex,167,23,3841,2634.483067,1206.516933
Apr,North,Jamie,188,26,4888,3658.473106,1229.526894
Jun,East,Jamie,138,30,4140,2698.719224,1441.280776
Apr,East,Skyler,156,21,3276,2426.251234,849.7487659
Mar,South,Alex,93,21,1953,1495.711961,457.2880393
Jul,South,Alex,130,25,3250,2195.449954,1054.550046
Aug,North,Skyler,218,28,6104,4133.294816,1970.705184
Apr,West,Skyler,157,22,3454,2260.050483,1193.949517
Feb,East,Skyler,159,26,4134,3004.870269,1129.129731
Dec,East,Jordan,89,29,2581,1931.073573,649.9264274
Oct,North,Skyler,159,34,5406,3884.40798,1521.59202
Mar,North,Skyler,203,33,6699,4745.687636,1953.312364
Jan,South,Jordan,113,28,3164,2272.264323,891.7356769
Aug,South,Alex,200,30,6000,4603.375397,1396.624603
Mar,West,Jamie,159,32,5088,3332.778119,1755.221881
Dec,North,Alex,132,28,3696,2836.94901,859.0509899
Oct,West,Jamie,235,30,7050,5287.156787,1762.843213
Jul,North,Jamie,97,23,2231,1530.943396,700.0566037
Oct,East,Skyler,233,21,4893,3565.582722,1327.417278
May,North,Skyler,181,34,6154,4045.600218,2108.399782
Oct,North,Jordan,214,20,4280,3025.695926,1254.304074
May,East,Alex,177,25,4425,2991.770695,1433.229305
