Month,Region,Sales_Rep,Units_Sold,Unit_Price,Revenue,Cost,Profit
Jun,East,Alex,160,31,4960,3889.763592043582,1070.2364079564181
Jun,West,Alex,185,28,5180,3831.369291406558,1348.6307085934418
Oct,West,Skyler,107,28,2996,2175.5275543999614,820.4724456000386
Apr,East,Jamie,242,28,6776,5200.5259376829845,1575.4740623170155
Jun,East,Jamie,87,28,2436,1680.9567586416701,755.0432413583299
Feb,North,Jamie,170,21,3570,2328.719218808794,1241.2807811912062
Oct,West,Jamie,229,33,7557,5373.512064281669,2183.487935718331
Dec,West,Jordan,200,33,6600,4792.696391567809,1807.3036084321911
Feb,North,Jordan,231,30,6930,4813.504596856587,2116.4954031434127
Oct,West,Alex,145,30,4350,3077.643627833894,1272.3563721661062
Apr,South,Jordan,174,30,5220,3497.184596373302,1722.8154036266978
Aug,South,Jamie,143,23,3289,2274.6509738265013,1014.3490261734987
Jul,South,Skyler,144,34,4896,3358.726023508463,1537.2739764915368
Dec,West,Alex,204,21,4284,2978.0141522690824,1305.9858477309176
Sep,South,Alex,93,26,2418,1680.1669258930947,737.8330741069053
Aug,South,Jamie,104,30,3120,2289.5971976502833,830.4028023497167
May,North,Jamie,179,22,3938,2707.7276125738204,1230.2723874261796
Feb,North,Jamie,184,28,5152,4075.974864309066,1076.025135690934
May,East,Jordan,210,26,5460,3967.7340860675718,1492.2659139324282
Aug,East,Alex,212,27,5724,3831.3302131034266,1892.6697868965734
Oct,East,Jamie,144,28,4032,2789.9058724130873,1242.0941275869127
Sep,East,Skyler,98,27,2646,2009.5407502162411,636.4592497837589
Dec,North,Alex,185,26,4810,3136.354996191695,1673.6450038083049
Dec,North,Alex,133,34,4522,3575.421940037392,946.5780599626082
Dec,North,Jordan,217,28,6076,4355.134246460901,1720.8657535390994
Sep,South,Alex,223,30,6690,4871.402799531325,1818.5972004686746
Jan,South,Jamie,183,20,3660,2921.6383174759007,738.3616825240993
Sep,East,Jamie,236,30,7080,5136.61407733129,1943.38592266871
Jul,South,Skyler,94,34,3196,2531.74847094507,664.25152905493
Sep,West,Alex,127,23,2921,2299.6585133847707,621.3414866152293
Aug,North,Alex,218,23,5014,3967.0634091098586,1046.9365908901414
Jan,East,Jordan,113,24,2712,2093.2733597878937,618.7266402121063
Dec,East,Jamie,243,27,6561,4556.350174917491,2004.6498250825089
Aug,West,Skyler,237,29,6873,4824.553021659158,2048.446978340842
Aug,South,Jamie,178,20,3560,2508.9014924084627,1051.0985075915373
Nov,East,Alex,98,25,2450,1952.3489585574819,497.65104144251814
Mar,South,Alex,149,28,4172,2937.560794385771,1234.4392056142292
Jan,South,Skyler,194,29,5626,3748.6229080493918,1877.3770919506082
Aug,West,Alex,240,27,6480,4968.535685585368,1511.464314414632
Mar,East,Skyler,175,34,5950,4194.211487736982,1755.7885122630178
Mar,South,Skyler,154,21,3234,2403.3160107782064,830.6839892217936
Jan,South,Jamie,229,26,5954,4695.646284192949,1258.3537158070512
Nov,West,Skyler,115,24,2760,2032.2593087861105,727.7406912138895
May,West,Alex,230,21,4830,3601.51377922029,1228.48622077971
Oct,South,Jordan,142,30,4260,3179.7891786932223,1080.2108213067777
Jul,West,Jordan,233,20,4660,3457.067030845202,1202.9329691547978
Oct,South,Alex,172,21,3612,2434.363048719181,1177.6369512808192
Sep,East,Jordan,84,30,2520,1810.5250267750298,709.4749732249702
Dec,North,Jordan,245,29,7105,4626.41792929055,2478.58207070945
Jul,West,Skyler,104,25,2600,1934.24327358938,665.7567264106201
Sep,North,Jordan,177,30,5310,3909.7728819883996,1400.2271180116004
Aug,South,Jordan,91,31,2821,1968.2697643217534,852.7302356782466
Dec,South,Jordan,229,27,6183,4504.836884415206,1678.1631155847936
Feb,South,Jamie,216,22,4752,3440.251586944077,1311.7484130559228
Jan,North,Alex,163,24,3912,2690.037048714913,1221.962951285087
Jul,South,Skyler,108,34,3672,2548.3427814894003,1123.6572185105997
Jul,West,Jordan,188,30,5640,4311.1096831479235,1328.8903168520765
Aug,East,Alex,106,21,2226,1699.2390213747794,526.7609786252206
May,East,Jordan,134,31,4154,2992.8212578144457,1161.1787421855543
Mar,West,Jamie,212,27,5724,4336.65318654436,1387.3468134556397
Dec,East,Jamie,131,23,3013,2162.189638600372,850.8103613996282
Aug,North,Jordan,92,30,2760,2146.4688504469987,613.5311495530013
Jun,South,Jordan,121,29,3509,2456.022797180504,1052.9772028194961
Nov,South,Jordan,222,31,6882,5430.544047590408,1451.455952409592
Mar,South,Jamie,158,25,3950,2888.8030629595673,1061.1969370404327
Jan,North,Jamie,97,22,2134,1558.5736843316283,575.4263156683717
Mar,North,Alex,129,30,3870,2904.9054281012686,965.0945718987314
May,North,Skyler,81,34,2754,1930.9076180675463,823.0923819324537
Mar,West,Skyler,166,27,4482,3400.266770520867,1081.7332294791331
Jan,North,Jamie,186,27,5022,3505.676229814283,1516.323770185717
May,East,Skyler,220,22,4840,3434.6131905500783,1405.3868094499217
Oct,West,Jordan,126,31,3906,2934.208743617052,971.7912563829482
Jul,West,Alex,168,28,4704,3324.6336858782547,1379.3663141217453
Jul,West,Jamie,91,29,2639,1794.509756466069,844.4902435339311
Nov,North,Jamie,92,32,2944,2298.631684195264,645.3683158047361
Sep,West,Skyler,216,24,5184,4086.668024105326,1097.331975894674
Oct,North,Jordan,138,29,4002,2977.5266491994116,1024.4733508005884
Oct,North,Alex,122,28,3416,2636.03365516178,779.9663448382198
Dec,West,Skyler,153,26,3978,3174.435460094095,803.5645399059049
Mar,South,Jamie,102,34,3468,2574.0058258966733,893.9941741033267
Jul,South,Jamie,158,34,5372,4224.105111930861,1147.8948880691387
Jan,West,Skyler,102,34,3468,2441.0843208045253,1026.9156791954747
Apr,South,Jordan,180,29,5220,3941.469917299667,1278.530082700333
Apr,East,Alex,241,22,5302,3490.682087345882,1811.3179126541181
May,East,Alex,223,25,5575,4283.527463378984,1291.472536621016
Jul,North,Alex,188,29,5452,4222.413011759841,1229.5869882401594
Jul,South,Alex,190,21,3990,2833.6034987296844,1156.3965012703156
Nov,East,Jordan,239,25,5975,4456.413432980056,1518.5865670199437
Apr,West,Jamie,245,31,7595,5914.637885900495,1680.3621140995047
Jul,South,Jamie,96,24,2304,1802.9749816543278,501.02501834567215
Nov,East,Alex,165,32,5280,3516.3729672587483,1763.6270327412517
Mar,East,Alex,118,22,2596,2009.6237284999104,586.3762715000896
Jun,West,Alex,120,33,3960,2736.9005510441034,1223.0994489558966
Dec,North,Skyler,127,34,4318,3277.7766767579565,1040.2233232420435
Feb,West,Skyler,235,26,6110,4269.512946675927,1840.4870533240728
Oct,North,Jamie,156,30,4680,3081.543428782665,1598.4565712173348
Sep,East,Jamie,80,23,1840,1253.9243159189057,586.0756840810943
May,North,Alex,196,30,5880,4182.448506279488,1697.5514937205116
Jun,East,Skyler,98,33,3234,2461.6700035916115,772.3299964083885
Dec,East,Jordan,138,25,3450,2294.614127134145,1155.3858728658552
Dec,South,Skyler,186,28,5208,4020.264138372005,1187.7358616279948
Dec,North,Jamie,248,31,7688,6146.883999251053,1541.116000748947
Dec,North,Skyler,217,33,7161,5501.356947420858,1659.643052579142
Apr,North,Jamie,107,25,2675,1928.8367786615888,746.1632213384112
Nov,West,Alex,113,23,2599,1910.8472581982924,688.1527418017076
Oct,South,Jordan,118,34,4012,2611.5073938965493,1400.4926061034507
Jul,South,Alex,205,29,5945,4050.869944907551,1894.1300550924489
Dec,South,Alex,162,34,5508,4322.94399421229,1185.05600578771
Sep,West,Jordan,185,21,3885,2537.9128094439297,1347.0871905560703
Jul,North,Jordan,189,28,5292,4158.026233609625,1133.9737663903752
Jan,North,Jordan,200,34,6800,4535.51766029073,2264.4823397092696
Jan,North,Jamie,186,33,6138,4112.2213514530995,2025.7786485469005
Sep,South,Alex,210,23,4830,3266.5410104158404,1563.4589895841596
Nov,South,Jamie,102,23,2346,1806.2036958517338,539.7963041482662
Sep,East,Jordan,224,21,4704,3395.008447561583,1308.9915524384169
Apr,West,Jamie,150,34,5100,3426.0754221259826,1673.9245778740174
Sep,West,Jordan,233,24,5592,4210.889366335275,1381.1106336647254
Mar,South,Skyler,186,32,5952,4708.646573455654,1243.353426544346
Jul,East,Jordan,225,25,5625,4139.255931396305,1485.7440686036953
Jun,North,Alex,125,29,3625,2409.918128110543,1215.081871889457
Aug,South,Alex,149,25,3725,2451.8419012017002,1273.1580987982998
Nov,West,Alex,110,22,2420,1861.9016666349012,558.0983333650988
Sep,West,Jamie,172,31,5332,3966.541705169073,1365.4582948309271
May,West,Alex,216,34,7344,5789.999324779662,1554.000675220338
Jan,North,Jordan,197,34,6698,4903.522226757914,1794.4777732420862
Mar,West,Skyler,242,33,7986,5265.643453544853,2720.3565464551466
Oct,North,Alex,160,28,4480,3183.277563199093,1296.722436800907
Dec,North,Jamie,139,26,3614,2705.796752285408,908.2032477145922
Aug,North,Skyler,155,32,4960,3510.354701097324,1449.6452989026761
Nov,South,Alex,142,33,4686,3748.51279276871,937.4872072312901
Jun,North,Alex,179,22,3938,2799.157147097081,1138.8428529029188
Aug,East,Skyler,127,23,2921,2137.983358802994,783.0166411970058
Sep,West,Alex,231,26,6006,4106.9556821906735,1899.0443178093265
Apr,South,Jamie,153,30,4590,3088.247153662059,1501.7528463379408
Jan,West,Jordan,137,27,3699,2762.3977780718196,936.6022219281804
Jan,North,Jordan,109,25,2725,2011.8454603017851,713.1545396982149
Oct,South,Skyler,236,23,5428,3531.732697700197,1896.2673022998029
Apr,East,Jordan,89,31,2759,1911.2068381760457,847.7931618239543
Dec,North,Alex,118,21,2478,1849.9185272889003,628.0814727110997
Jul,West,Alex,134,29,3886,2999.3601436274453,886.6398563725547
Feb,East,Jamie,107,27,2889,2013.2149557948167,875.7850442051833
Mar,North,Jordan,225,20,4500,3362.019549269977,1137.9804507300232
Jan,East,Skyler,248,28,6944,4789.892660045121,2154.1073399548786
May,North,Alex,197,34,6698,5047.324680133994,1650.6753198660062
Jan,South,Skyler,193,27,5211,3932.701053154514,1278.2989468454862
Aug,North,Alex,154,22,3388,2268.3795651770556,1119.6204348229444
Jan,South,Alex,144,29,4176,3131.012240683196,1044.987759316804
Nov,North,Jamie,160,23,3680,2576.129084287564,1103.8709157124358
Jan,North,Jordan,179,29,5191,3508.5410434845994,1682.4589565154006
Feb,West,Jamie,179,23,4117,2985.048079299444,1131.951920700556
Feb,East,Jordan,125,21,2625,1884.3418192890592,740.6581807109408
Dec,East,Skyler,139,31,4309,3301.043984129922,1007.9560158700779
Jun,East,Jordan,216,30,6480,4294.149074904704,2185.8509250952957
Jul,North,Skyler,235,29,6815,5237.075279063289,1577.9247209367113
May,North,Alex,176,24,4224,2812.81378463245,1411.1862153675502
Jan,North,Skyler,82,32,2624,1787.255873451919,836.7441265480811
Jan,South,Skyler,215,31,6665,4848.003147800089,1816.9968521999108
Mar,South,Alex,193,22,4246,3054.8959027542824,1191.1040972457176
Feb,West,Skyler,195,31,6045,4825.897875340098,1219.102124659902
May,North,Skyler,137,30,4110,3034.910544226294,1075.089455773706
Dec,East,Alex,149,20,2980,2083.3637110753702,896.6362889246298
Oct,East,Alex,172,21,3612,2835.5006569771313,776.4993430228687
Jun,West,Alex,219,30,6570,4578.187839909157,1991.8121600908426
Jul,East,Jordan,216,31,6696,4627.380247983118,2068.6197520168816
Apr,West,Alex,184,26,4784,3464.3612002347018,1319.6387997652982
Jul,North,Alex,128,34,4352,3424.920499304026,927.0795006959738
Nov,East,Skyler,162,20,3240,2450.3379280557956,789.6620719442044
Aug,North,Jamie,96,34,3264,2453.295782292805,810.7042177071949
Nov,South,Jamie,133,31,4123,3128.992484563223,994.0075154367769
Jan,East,Jordan,191,32,6112,4577.558511959334,1534.4414880406657
Jun,South,Jordan,239,32,7648,5842.838383811068,1805.1616161889324
Aug,East,Jamie,242,21,5082,3450.2424891641185,1631.7575108358815
May,North,Jamie,128,33,4224,2857.9108504921505,1366.0891495078495
Apr,West,Alex,223,29,6467,4554.866551644852,1912.1334483551482
Feb,North,Skyler,164,26,4264,3315.8738745178143,948.1261254821857
Jun,North,Alex,91,20,1820,1378.0460008306018,441.95399916939823
Jun,North,Jordan,205,26,5330,3917.3954376027946,1412.6045623972054
Nov,East,Jamie,177,32,5664,3698.1225428814105,1965.8774571185895
Jan,West,Jordan,215,27,5805,3978.574838737156,1826.425161262844
Sep,South,Alex,228,30,6840,5270.405305056197,1569.594694943803
Dec,North,Jordan,127,32,4064,2789.4198881041398,1274.5801118958602
Nov,East,Jordan,215,33,7095,5388.961342360466,1706.038657639534
Jun,South,Skyler,107,21,2247,1522.7809789946173,724.2190210053827
Mar,North,Jordan,159,23,3657,2709.672924050258,947.3270759497418
Apr,South,Alex,89,26,2314,1722.1521653817442,591.8478346182558
Dec,North,Skyler,131,20,2620,1998.5227266947873,621.4772733052127
Nov,South,Jordan,222,25,5550,3972.4200487456205,1577.5799512543795
Apr,South,Alex,211,24,5064,3772.179701425325,1291.8202985746748
Mar,West,Jamie,169,30,5070,3665.8405243217767,1404.1594756782233
Oct,West,Skyler,141,25,3525,2792.154991504358,732.8450084956421
Mar,North,Jordan,186,27,5022,3657.432751663042,1364.567248336958
Mar,East,Jordan,211,30,6330,4313.513190030214,2016.486809969786
Apr,West,Skyler,120,30,3600,2700.6619765348637,899.3380234651363
Jul,South,Alex,178,20,3560,2606.881553263293,953.118446736707
Apr,West,Jordan,134,22,2948,2271.653403670749,676.346596329251
Sep,West,Alex,107,30,3210,2171.6829342411465,1038.3170657588535
Jan,North,Skyler,180,32,5760,3969.4518167102538,1790.5481832897462
Aug,West,Jordan,126,28,3528,2780.9261236348743,747.0738763651257
Jul,West,Jamie,216,31,6696,5286.51822814458,1409.4817718554204
Feb,South,Jamie,209,27,5643,4042.2982399826715,1600.7017600173285
Aug,West,Jamie,196,23,4508,2962.489349348482,1545.510650651518
Jan,South,Skyler,187,30,5610,3904.4660902487453,1705.5339097512547
Nov,West,Jordan,148,33,4884,3355.6420566290285,1528.3579433709715
Dec,West,Skyler,107,29,3103,2209.9613407610364,893.0386592389636
Sep,East,Jordan,158,28,4424,3086.492490687831,1337.507509312169
Sep,West,Jamie,93,26,2418,1872.3755231152852,545.6244768847148
Feb,South,Jamie,125,21,2625,1707.4454325306474,917.5545674693526
Jul,South,Alex,220,20,4400,3285.457023317589,1114.5429766824109
Oct,North,Skyler,95,20,1900,1424.3170141694725,475.6829858305275
Mar,North,Skyler,247,32,7904,5920.838867662689,1983.1611323373108
Jul,East,Alex,237,22,5214,3796.2570996304453,1417.7429003695547
Dec,South,Jamie,160,32,5120,3797.3279281483287,1322.6720718516713
Oct,South,Jamie,137,33,4521,3488.286717368878,1032.7132826311222
Sep,South,Skyler,127,34,4318,3314.6242535564647,1003.3757464435353
Apr,East,Jordan,128,29,3712,2432.079410012939,1279.9205899870608
Dec,South,Jamie,168,21,3528,2309.307014712184,1218.692985287816
Jan,North,Alex,209,23,4807,3729.4711572481633,1077.5288427518367
Feb,East,Alex,93,33,3069,2259.4268116546946,809.5731883453054
Jan,North,Alex,182,34,6188,4910.884052596864,1277.1159474031356
Dec,North,Skyler,200,33,6600,4717.275680947311,1882.7243190526888
May,East,Skyler,224,27,6048,4091.540180370219,1956.4598196297811
May,West,Skyler,202,24,4848,3495.336428288415,1352.663571711585
Nov,West,Skyler,238,24,5712,4086.831163061433,1625.168836938567
Jul,North,Alex,217,25,5425,3947.1030941455924,1477.8969058544076
Sep,West,Alex,149,32,4768,3677.043861668795,1090.9561383312048
Sep,South,Skyler,182,31,5642,4222.120728990894,1419.8792710091057
Mar,East,Skyler,181,34,6154,4171.127654722362,1982.8723452776376
Mar,North,Alex,244,34,8296,6306.383497808239,1989.6165021917614
Mar,South,Skyler,143,24,3432,2535.508170595737,896.4918294042632
Apr,West,Skyler,237,24,5688,4190.61471529475,1497.3852847052503
Aug,South,Skyler,241,34,8194,6159.745534201639,2034.2544657983608
Jun,West,Skyler,97,33,3201,2351.4380149739336,849.5619850260664
Aug,North,Jamie,142,26,3692,2653.171107184036,1038.828892815964
Jan,South,Skyler,128,25,3200,2387.3825357507662,812.6174642492338
Aug,East,Alex,135,32,4320,3276.9751410687727,1043.0248589312273
Apr,North,Alex,170,32,5440,3720.225825350252,1719.7741746497481
Nov,South,Alex,137,33,4521,3275.7243857775766,1245.2756142224234
Jan,South,Alex,234,29,6786,4877.27375035757,1908.72624964243
Aug,West,Skyler,134,30,4020,2637.0616721786073,1382.9383278213927
Apr,North,Jamie,164,21,3444,2669.6710099086413,774.3289900913587
Jun,North,Jordan,98,32,3136,2215.920504060635,920.0794959393652
Aug,North,Jordan,230,20,4600,3040.155570908834,1559.8444290911661
Apr,North,Jordan,182,20,3640,2616.012907003759,1023.9870929962408
Mar,West,Jordan,191,23,4393,2961.8577771740584,1431.1422228259416
Sep,East,Alex,187,21,3927,2967.4853109405494,959.5146890594506
Mar,North,Skyler,126,25,3150,2317.662069266715,832.3379307332848
Sep,West,Skyler,186,31,5766,3981.5214316552165,1784.4785683447835
Feb,East,Jordan,163,31,5053,4004.8616615434807,1048.1383384565193
Feb,East,Jordan,235,28,6580,4564.952658728259,2015.047341271741
Feb,West,Jamie,207,29,6003,4401.696964887368,1601.3030351126317
Jun,North,Jamie,137,30,4110,3165.666563675432,944.3334363245681
Mar,East,Jamie,222,34,7548,5488.028859744071,2059.9711402559287
Sep,North,Alex,223,33,7359,5843.990537704549,1515.0094622954512
Apr,North,Skyler,176,29,5104,3963.6550564795166,1140.3449435204834
Jan,South,Alex,126,27,3402,2681.2960028446573,720.7039971553427
Apr,North,Alex,219,23,5037,3555.6454371556665,1481.3545628443335
Jan,South,Skyler,182,32,5824,4264.643292650476,1559.3567073495242
May,East,Jamie,163,31,5053,3921.2540436692234,1131.7459563307766
Apr,West,Skyler,236,21,4956,3893.0619255006613,1062.9380744993387
Aug,South,Jordan,128,20,2560,2026.6356139399124,533.3643860600876
Aug,West,Jamie,210,26,5460,4269.02548249612,1190.9745175038797
Jul,East,Skyler,191,29,5539,4207.497712050908,1331.5022879490916
Mar,North,Alex,139,22,3058,1998.8073312974964,1059.1926687025036
Jan,East,Skyler,145,33,4785,3336.3078383610136,1448.6921616389864
Jan,West,Jamie,166,25,4150,2777.7628373461607,1372.2371626538393
Dec,East,Jordan,205,24,4920,3312.2118477890294,1607.7881522109706
Nov,North,Alex,105,24,2520,1747.962916830733,772.0370831692669
Mar,East,Jordan,150,31,4650,3074.6314688890157,1575.3685311109843
Jun,North,Jordan,153,21,3213,2205.579181949656,1007.4208180503442
Jul,South,Alex,126,33,4158,3299.5677003494625,858.4322996505375
Jun,West,Skyler,155,28,4340,3024.0752696609156,1315.9247303390844
Jun,North,Skyler,175,30,5250,3538.2740425651687,1711.7259574348313
Jun,North,Jordan,249,23,5727,4339.605769989636,1387.3942300103636
Mar,East,Skyler,110,29,3190,2469.939714300002,720.0602856999981
Jun,South,Jamie,101,20,2020,1408.1534684277347,611.8465315722653
Aug,North,Jordan,96,21,2016,1394.6175867188995,621.3824132811005
Nov,South,Jordan,227,28,6356,4361.89355297266,1994.1064470273404
Nov,South,Jordan,215,26,5590,3963.2495489571543,1626.7504510428457
Feb,East,Jamie,177,29,5133,3403.614091948055,1729.385908051945
May,North,Jordan,128,21,2688,2016.9929041474625,671.0070958525375
Jan,East,Skyler,166,26,4316,3337.7093229710317,978.2906770289683
Dec,West,Skyler,117,33,3861,2894.021592310968,966.9784076890319
Jan,West,Skyler,132,23,3036,2165.2143387772944,870.7856612227056
May,North,Skyler,107,29,3103,2151.4474780263763,951.5525219736237
Dec,South,Jordan,156,21,3276,2330.6018452409876,945.3981547590124
Mar,North,Jamie,236,31,7316,5220.519255915267,2095.4807440847326
Apr,North,Alex,218,23,5014,3760.014265094173,1253.985734905827
Mar,West,Skyler,97,24,2328,1837.2786761931775,490.7213238068225
Jan,West,Alex,129,32,4128,2726.907154266164,1401.092845733836
Jan,South,Alex,168,33,5544,4396.40884784202,1147.59115215798
Dec,South,Jordan,229,23,5267,4142.654524078185,1124.3454759218148
Dec,North,Skyler,124,34,4216,2814.8539067368433,1401.1460932631567
May,East,Skyler,206,22,4532,3070.60110413181,1461.3988958681898
Jun,North,Skyler,172,25,4300,2995.9791629332653,1304.0208370667347
Mar,South,Alex,100,20,2000,1467.8998122895578,532.1001877104422
Dec,East,Skyler,155,27,4185,2804.6674320883494,1380.3325679116506
Sep,West,Skyler,243,31,7533,5122.818480449569,2410.1815195504314
May,South,Jamie,231,24,5544,4354.2647744402375,1189.7352255597625
Aug,South,Jordan,239,27,6453,4300.247545554717,2152.7524544452826
Jan,East,Skyler,170,29,4930,3499.4704770705416,1430.5295229294584
May,South,Skyler,175,23,4025,3076.9123232614456,948.0876767385544
Mar,South,Jordan,175,23,4025,3152.7320568227833,872.2679431772167
Dec,South,Jordan,154,24,3696,2588.701996703604,1107.298003296396
Jan,South,Alex,189,24,4536,3060.283278645288,1475.7167213547118
Apr,South,Alex,161,30,4830,3673.4649470147347,1156.5350529852653
May,South,Alex,207,25,5175,3963.447960170053,1211.5520398299468
Jul,South,Jordan,182,24,4368,3481.3179125484685,886.6820874515315
Jan,South,Jamie,212,24,5088,3413.698341021606,1674.3016589783938
Mar,West,Skyler,223,32,7136,5397.764112809274,1738.2358871907263
Feb,South,Jordan,218,27,5886,4194.327581565927,1691.6724184340728
Sep,West,Jamie,114,25,2850,2243.5040845600865,606.4959154399135
Oct,West,Jordan,191,21,4011,2852.5214515591815,1158.4785484408185
Jun,North,Jamie,249,23,5727,4105.652260627108,1621.3477393728917
Oct,North,Jordan,166,23,3818,2554.3164117815427,1263.6835882184573
Mar,West,Jordan,198,24,4752,3317.563740412779,1434.4362595872208
Aug,West,Jamie,177,34,6018,4273.538692623115,1744.461307376885
Aug,South,Jamie,160,34,5440,3550.2871435723264,1889.7128564276736
Feb,North,Jamie,217,25,5425,3882.326223695352,1542.673776304648
Jun,East,Jamie,161,30,4830,3383.1627903931635,1446.8372096068365
Jul,North,Jamie,215,24,5160,3976.171955509581,1183.828044490419
Feb,West,Jamie,105,33,3465,2307.921780838451,1157.078219161549
Nov,West,Jamie,82,33,2706,2067.4696964180016,638.5303035819984
Oct,South,Jamie,138,30,4140,3134.401168374852,1005.5988316251478
Feb,South,Jordan,195,25,4875,3345.5533271913964,1529.4466728086036
Oct,North,Jamie,210,27,5670,3756.3225539246987,1913.6774460753013
Jan,South,Jamie,245,23,5635,4374.309720025002,1260.6902799749978
Aug,East,Jordan,209,30,6270,4310.0889552015915,1959.9110447984085
Jan,East,Jordan,224,22,4928,3310.7980404874875,1617.2019595125125
Sep,South,Alex,115,28,3220,2266.4146787240716,953.5853212759284
